index,Marca,Submarca,Versión,Modelo,Trans.,Comb.,Cilindros,Potencia (HP),Tamaño (L),Categoría,R. Ciudad (km/l),R. Carr. (km/l),R. Comb. (km/l),R. Ajust. (km/l),CO2(g/km),NOx (g/1000km),Calificación Gas Ef. Inv.,Calificación Contam. Aire,Hibrido
1189,VW,PASSAT,NUEVO 4PTAS 3.6L 6CIL 280HP DSG,2017,DSG,Gasolina,6,280,3.6,AUTOS DE LUJO,11.0,17.8,13.28,9.96,234,5,6,9,False
1190,BMW,440iA,CONVERTIBLE 2PTAS 3.0L 6CIL 326HP TURBO AUT,2017,AUT,Gasolina,6,326,3.0,AUTOS DE LUJO,11.0,18.2,14.77,11.08,210,15,7,8,False
1191,BMW,440iA,COUPE 4PTAS 3.0L 6CIL 326HP TURBO AUT,2017,AUT,Gasolina,6,326,3.0,AUTOS DE LUJO,11.0,18.2,14.77,11.08,210,15,7,8,False
1192,BMW,740iA,SEDAN 4PTAS 3.0L 6CIL 326HP TURBO AUT,2017,AUT,Gasolina,6,326,3.0,AUTOS DE LUJO,11.0,19.2,15.01,11.26,207,36,7,6,False
1193,PEUGEOT,RCZ,COUPÉ 2PTS 1.6L 4CIL 197HP MAN TURBO,2011,MAN,Gasolina,4,197,1.6,AUTOS DE LUJO,10.99,17.86,14.68,11.01,212,29,6,?,False
1194,PEUGEOT,RCZ,COUPE 2PTS 1.6L 4CIL 197HP MAN TURBO,2012,MAN,Gasolina,4,197,1.6,AUTOS DE LUJO,10.99,17.86,14.68,11.01,212,29,6,?,False
1195,PEUGEOT,RCZ,COUPE 2PTS 1.6L 4CIL 197HP MAN TURBO,2013,MAN,Gasolina,4,197,1.6,AUTOS DE LUJO,10.99,17.86,14.68,11.01,212,29,6,?,False
1196,PEUGEOT,RCZ,COUPE 2PTS 1.6L 4CIL 197HP MAN TURBO,2014,MAN,Gasolina,4,197,1.6,AUTOS DE LUJO,10.99,17.86,14.68,11.01,212,29,6,?,False
1197,PEUGEOT,RCZ,COUPE 2PTS 1.6L 4CIL 197HP MAN TURBO,2015,MAN,Gasolina,4,197,1.6,AUTOS DE LUJO,10.99,17.86,14.68,11.01,212,29,6,?,False
1198,MERCEDES,SLK200,CGI 2PTS 1.8L 4CIL 181HP AUT TURBO,2012,AUT,Gasolina,4,181,1.8,AUTOS DE LUJO,10.98,20.4,15.25,11.44,204,20,7,?,False
1199,MERCEDES,SLK200,CGI 2PTS 1.8L 4CIL 181HP AUT TURBO,2013,AUT,Gasolina,4,181,1.8,AUTOS DE LUJO,10.98,20.4,15.25,11.44,204,20,7,?,False
1200,PORSCHE,CAYMAN,S 2PTS 3.4L 6CIL 325HP PDK,2013,PDK,Gasolina,6,325,3.4,AUTOS DE LUJO,10.98,17.85,13.28,9.96,234,11,6,9,False
1201,CADILLAC,CTS,PREMIUM 4PTAS 3.5L 6CIL 335HP AUT,2018,AUT,Gasolina,6,335,3.5,AUTOS DE LUJO,10.93,17.94,13.26,9.94,234,8,6,9,False
1202,CADILLAC,CTS,SEDAN RWD 4PTAS 3.6L 6CIL 335HP AUT,2017,AUT,Gasolina,6,335,3.6,AUTOS DE LUJO,10.93,17.94,13.26,9.94,234,9,6,9,False
1203,NISSAN,ALTIMA,COUPE 2PTS 3.5L 6CIL 270HP CVT,2011,CVT,Gasolina,6,270,3.5,AUTOS DE LUJO,10.9,16.2,12.78,9.59,243,6,5,9,False
1204,NISSAN,ALTIMA,COUPE 2PTS 3.5L 6CIL 270HP CVT,2012,CVT,Gasolina,6,270,3.5,AUTOS DE LUJO,10.9,16.2,12.78,9.59,243,6,5,9,False
1205,INFINITI,G25,SEDAN 4PTS 2.5L 6CIL 219HP AUT,2012,AUT,Gasolina,6,219,2.5,AUTOS DE LUJO,10.9,17.4,13.1,9.83,237,10,6,9,False
1206,INFINITI,G25,SEDAN 4PTS 2.5L 6CIL 219HP AUT,2013,AUT,Gasolina,6,219,2.5,AUTOS DE LUJO,10.9,17.4,13.1,9.83,237,10,6,9,False
1207,MERCEDES,SLK200,CGI 2PTS 1.8L 4CIL 181HP AUT TURBO,2014,AUT,Gasolina,4,181,1.8,AUTOS DE LUJO,10.9,20.4,15.18,11.39,205,28,7,?,False
1208,AUDI,A8,SEDAN 4PTS 3.0L 6CIL 310HP TIPTRONIC FSI TURBO QUATTRO,2015,TIPTRONIC,Gasolina,6,310,3.0,AUTOS DE LUJO,10.9,17.3,13.08,9.81,238,54,6,5,False
1209,PORSCHE,CAYMAN,S COUPE 2PTS 3.4L 6CIL 325HP PDK,2015,PDK,Gasolina,6,325,3.4,AUTOS DE LUJO,10.9,17.7,13.18,9.88,236,11,6,9,False
1210,AUDI,A8,4PTAS 3.0L 6CIL 310HP TIP QUATTRO FSI TURBO,2016,TIPT,Gasolina,6,310,3.0,AUTOS DE LUJO,10.9,17.3,13.08,9.81,238,54,6,5,False
1211,PORSCHE,CAYMAN,COUPE S 2PTAS 3.4L 6CIL 325HP PDK,2016,PDK,Gasolina,6,325,3.4,AUTOS DE LUJO,10.9,17.7,13.18,9.88,236,11,6,9,False
1212,AUDI,A8,4PTAS 3.0L 6CIL 310HP TIP QUATTRO FSI TURBO,2017,TIPT,Gasolina,6,310,3.0,AUTOS DE LUJO,10.9,17.3,13.08,9.81,238,54,6,5,False
1213,PORSCHE,CAYMAN,COUPE S 2PTAS 3.4L 6CIL 325HP PDK,2017,PDK,Gasolina,6,325,3.4,AUTOS DE LUJO,10.9,17.7,13.18,9.88,236,11,6,9,False
1214,BMW,Z4,sDrive20i 2PTS 2.0L 4CIL 184HP MAN TURBO,2012,MAN,Gasolina,4,184,2.0,AUTOS DE LUJO,10.89,18.13,14.67,11.0,212,31,6,?,False
1215,BMW,Z4,sDrive 20iA 2PTS 2.0L 4CIL 184HP AUT TURBO,2013,AUT,Gasolina,4,184,2.0,AUTOS DE LUJO,10.89,18.18,14.68,11.01,212,17,6,?,False
1216,CADILLAC,CTS,SEDAN RWD 4PTS 3.6L 6CIL 335HP AUT,2016,AUT,Gasolina,6,335,3.6,AUTOS DE LUJO,10.88,17.81,13.19,9.89,236,6,6,9,False
1217,VOLVO,XC60,FWD 5PTAS 2.0L 4CIL 245HP AUT TORBO,2016,AUT,Gasolina,4,245,2.0,AUTOS DE LUJO,10.86,17.24,13.03,9.77,239,27,5,6,False
1218,PORSCHE,CAYMAN,2PTS 2.9L 6CIL 265HP MAN,2011,MAN,Gasolina,6,265,2.9,AUTOS DE LUJO,10.82,14.71,12.28,9.21,253,26,5,6,False
1219,PORSCHE,CAYMAN,2PTS 2.9L 6CIL 265HP PDK,2011,PDK,Gasolina,6,265,2.9,AUTOS DE LUJO,10.82,12.99,11.7,8.77,266,26,4,6,False
1220,PORSCHE,CAYMAN,2PTS 2.9L 6CIL 265HP MAN,2012,MAN,Gasolina,6,265,2.9,AUTOS DE LUJO,10.82,14.71,12.28,9.21,253,26,5,6,False
1221,PORSCHE,CAYMAN,2PTS 2.9L 6CIL 265HP PDK,2012,PDK,Gasolina,6,265,2.9,AUTOS DE LUJO,10.82,12.99,11.7,8.77,266,26,4,6,False
1222,NISSAN,ALTIMA,SE 4PTS 3.5L 6CIL 270HP CVT,2011,CVT,Gasolina,6,270,3.5,AUTOS DE LUJO,10.8,16.2,12.71,9.53,245,6,5,9,False
1223,NISSAN,ALTIMA,SE 4PTS 3.5L 6CIL 270HP CVT,2012,CVT,Gasolina,6,270,3.5,AUTOS DE LUJO,10.8,16.2,12.71,9.53,245,6,5,9,False
1224,AUDI,A6,SEDAN 4PTS 2.0L 4CIL180HP MULTITRONIC FSI TURBO,2015,MULTITRONIC,Gasolina,4,180,2.0,AUTOS DE LUJO,10.8,20.1,13.64,10.23,228,13,6,8,False
1225,VW,PASSAT,CC COUPE 4PTS 2.0L 4CIL 200HP DSG TURBO FSI,2015,DSG,Gasolina,4,200,2.0,AUTOS DE LUJO,10.8,19.2,13.45,10.09,231,58,6,5,False
1226,AUDI,A8,4PTS 3.0L 6CIL 310HP TIPTRONIC QUATTRO FSI TURBO,2016,TIPTRONIC,Gasolina,6,310,3.0,AUTOS DE LUJO,10.8,17.1,12.95,9.71,240,54,5,5,False
1227,SUBARU,WRX,AWD 4PTAS 2.0L 4CIL 268HP MAN TURBO,2016,MAN,Gasolina,4,268,2.0,AUTOS DE LUJO,10.8,16.1,12.68,9.51,245,20,5,7,False
1228,VW,PASSAT,CC COUPE 4PTAS 2.0L 4CIL 200HP DSG TURBO FSI,2016,DSG,Gasolina,4,200,2.0,AUTOS DE LUJO,10.8,19.2,13.45,10.09,231,58,6,5,False
1229,VW,PASSAT CC,CC COUPE 4PTAS 2.0L 4CIL 200HP DSG TURBO FSI,2017,DSG,Gasolina,4,200,2.0,AUTOS DE LUJO,10.8,19.2,13.45,10.09,231,58,6,5,False
1230,VOLVO,C30,TURBO 3PTS 1.6L 4CIL 100HP MAN,2011,MAN,Gasolina,4,100,1.6,AUTOS DE LUJO,10.75,17.5,14.4,10.8,216,39,6,?,False
1231,VOLVO,C30,3PTS 1.6L 4CIL 100HP MAN,2011,MAN,Gasolina,4,100,1.6,AUTOS DE LUJO,10.75,17.54,14.41,10.81,216,39,6,?,False
1232,MINI,COOPER,CABRIO 3PTS 1.6L 4CIL 122HP AUT,2011,AUT,Gasolina,4,122,1.6,AUTOS DE LUJO,10.75,18.18,14.56,10.92,213,24,6,?,False
1233,VOLVO,C30,3PTS 1.6L 4CIL 100HP MAN,2012,MAN,Gasolina,4,100,1.6,AUTOS DE LUJO,10.75,17.54,14.41,10.81,216,39,6,?,False
1234,VW,PASSAT,CC 4PTS 2.0L 4CIL 200HP DSG FSI TURBO,2013,DSG,Gasolina,4,200,2.0,AUTOS DE LUJO,10.75,16.04,12.62,9.47,246,6,5,9,False
1235,CHRYSLER,200,LIMITED 4PTS 3.6L 6CIL 295HP AUT,2014,AUT,Gasolina,6,295,3.6,AUTOS DE LUJO,10.75,16.39,12.72,9.54,244,12,5,9,False
1236,VW,PASSAT,CC 4PTS 2.0L 4CIL 200HP DSG TURBO,2014,DSG,Gasolina,4,200,2.0,AUTOS DE LUJO,10.75,15.87,12.58,9.43,247,58,5,5,False
1237,CHRYSLER,200,4PTS 2.4L 4CIL 172HP AUT,2011,AUT,Gasolina,4,172,2.4,AUTOS DE LUJO,10.7,16.53,12.72,9.54,244,1,5,9,False
1238,CHRYSLER,200,4PTS 2.4L 4CIL 172HP AUT,2012,AUT,Gasolina,4,172,2.4,AUTOS DE LUJO,10.7,16.53,12.72,9.54,244,1,5,9,False
1239,CHRYSLER,200,4PTS 2.4L 4CIL 172HP AUT,2013,AUT,Gasolina,4,172,2.4,AUTOS DE LUJO,10.7,16.53,12.72,9.54,244,1,5,9,False
1240,AUDI,A4,SEDAN 4PTS 2.0L 4CIL 225HP STRONIC TURBO QUATTRO,2015,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1241,AUDI,A5,COUPE 2PTS 2.0L 4CIL 225HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1242,AUDI,A5,SPORTBACK 5PTS 2.0L 4CIL 225HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1243,AUDI,A5,3PTAS 2.0L 4CIL 225HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1244,AUDI,A5,CABRIO 2PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,3,272,3.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,22,5,7,False
1245,AUDI,A5,3PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,22,5,7,False
1246,AUDI,A5,SPORTBACK 5PTAS 1.8L 4CIL 177HP MULTITRONIC FRONT FSI TURBO,2016,MULTIT,Gasolina,4,177,1.8,AUTOS DE LUJO,10.7,15.1,12.31,9.24,252,16,5,8,False
1247,AUDI,A5,SPORTBACK 5PTAS 2.0L 4CIL TFSI 225HP S TRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1248,AUDI,A5,SPORTBACK 5PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,22,5,7,False
1249,AUDI,A4,4PTAS 2.0L 4CIL225HP STRONIC QUATTRO,2017,S TRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1250,AUDI,A5,3PTAS 2.0L 4CIL 225HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1251,AUDI,A5,3PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,22,5,7,False
1252,AUDI,A5,CABRIO 2PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,3,272,3.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,22,5,7,False
1253,AUDI,A5,SPORTBACK 5PTAS 1.8L 4CIL 177HP MULTITRONIC FRONT FSI TURBO,2017,MULTIT,Gasolina,4,177,1.8,AUTOS DE LUJO,10.7,15.1,12.31,9.24,252,16,5,8,False
1254,AUDI,A5,SPORTBACK 5PTAS 2.0L 4CIL TFSI 225HP S TRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,4,225,2.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,43,5,6,False
1255,AUDI,A5,SPORTBACK 5PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.7,17.1,12.87,9.65,242,22,5,7,False
1256,AUDI,A6,4PTAS 3.0L 4CIL 333HP S TRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.7,16.1,12.6,9.45,247,33,5,6,False
1257,AUDI,A6,4PTAS 3.0L 4CIL 333HP S TRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.7,16.1,12.6,9.45,247,33,5,6,False
1258,CHRYSLER,200,LIMITED 4PTS 3.6L 6CIL 283HP AUT,2011,AUT,Gasolina,6,283,3.6,AUTOS DE LUJO,10.68,15.38,12.38,9.29,251,13,5,8,False
1259,CHRYSLER,200,LIMITED 4PTS 3.6L 6CIL 283HP AUT,2012,AUT,Gasolina,6,283,3.6,AUTOS DE LUJO,10.68,15.38,12.38,9.29,251,13,5,8,False
1260,CHRYSLER,200,LIMITED 4PTS 3.6L 6CIL 283HP AUT,2013,AUT,Gasolina,6,283,3.6,AUTOS DE LUJO,10.68,15.38,12.38,9.29,251,13,5,8,False
1261,BUICK,REGAL,4PTS 2.0L 4CIL 220HP AUT TURBO,2014,AUT,Gasolina,4,220,2.0,AUTOS DE LUJO,10.67,17.26,12.88,9.66,241,6,5,9,False
1262,AUDI,A6,SEDAN 4PTS 2.0L 4CIL 180HP MULTITRONIC FSI TURBO,2013,MULTITRONIC,Gasolina,4,180,2.0,AUTOS DE LUJO,10.66,18.89,13.26,9.94,234,13,6,8,False
1263,BMW,Z4,sDrive 18iA 2PTS 2.0L 4CIL 156HP AUT TURBO,2016,AUT,Gasolina,4,156,2.0,AUTOS DE LUJO,10.64,18.87,14.63,10.97,213,32,6,6,False
1264,AUDI,A6,4PTS 2.0L 4CIL 180HP MULTITRONIC TFSI TURBO,2014,MULTITRONIC,Gasolina,4,180,2.0,AUTOS DE LUJO,10.64,18.87,13.24,9.93,235,13,6,8,False
1265,MERCEDES,GLC 300,COUPE 4PTAS 2.0L 4CIL 245HP TURBO AUT,2018,AUT,Gasolina,4,245,1.991,AUTOS DE LUJO,10.64,14.71,13.53,10.15,230,11,6,9,False
1266,BMW,X1,sDRIVE20iA 5PTS 2.0L 4CIL 184HP AUT TURBO,2012,AUT,Gasolina,4,184,2.0,AUTOS DE LUJO,10.63,17.24,14.24,10.68,218,20,6,?,False
1267,BMW,X1,sDrive 20iA 5PTS 2.0L 4CIL 184HP AUT TURBO,2013,AUT,Gasolina,4,184,2.0,AUTOS DE LUJO,10.63,17.24,14.24,10.68,218,20,6,?,False
1268,AUDI,A4,4PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,12,5,9,False
1269,AUDI,A5,COUPE 2PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,12,5,9,False
1270,AUDI,A5,SPORTBACK 5PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,12,5,9,False
1271,AUDI,A5,CABRIO 2PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,12,5,9,False
1272,AUDI,A5,COUPE 2PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,7,5,9,False
1273,AUDI,A5,SPORTBACK 5PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,7,5,9,False
1274,AUDI,A5,CABRIO 2PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.61,14.52,12.07,9.05,258,7,5,9,False
1275,AUDI,S4,4PTS 6CIL 3.0L 333HP STRONIC QUATTRO TURBO,2013,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.6,14.52,12.07,9.05,258,7,5,9,False
1276,AUDI,S5,2PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2013,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.6,14.52,12.07,9.05,258,7,5,9,False
1277,AUDI,S4,4PTS 3.0L 6CIL 333HP STRONIC QUATTRO TURBO,2014,S TRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.6,14.71,12.12,9.09,256,8,5,9,False
1278,AUDI,A4,SEDAN 4PTS 3.0L 6CIL 272HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,8,5,9,False
1279,AUDI,A5,COUPE 2PTS 3.0L 6CIL 272HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,41,5,6,False
1280,AUDI,A5,CABRIO 2PTS 3.0L 6CIL 272HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,41,5,6,False
1281,AUDI,A5,SPORTBACK 5PTS 3.0L 6CIL 272 HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,41,5,6,False
1282,AUDI,S5,COUPE 2PTS 3.0L 6CIL 333HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,11,5,9,False
1283,AUDI,S5,SPORTBACK 5PTS 3.0L 6CIL 333HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,11,5,9,False
1284,AUDI,S4,SEDAN 4PTS 3.0L 6CIL 333HP STRONIC FSI TURBO QUATTRO,2015,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,11,5,9,False
1285,AUDI,A4,4PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,S TRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.5,12.06,9.04,258,8,5,9,False
1286,AUDI,A5,3PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,8,5,9,False
1287,AUDI,A5,CABRIO 2PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,3,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,8,5,9,False
1288,AUDI,A5,SPORTBACK 5PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,8,5,9,False
1289,AUDI,A4,4PTAS 3.0L 6CIL 272HP STRONIC FSI QUATTRO TURBO,2017,S TRONIC,Gasolina,6,272,3.0,AUTOS DE LUJO,10.6,14.6,12.09,9.07,257,8,5,9,False
1290,ACURA,NSX,COUPE AWD 2PTAS 3.5L 6CIL 573HP TURBO AUT DCT,2017,AUT,Gasolina,6,573,3.5,AUTOS DE LUJO,10.6,10.8,12.05,9.03,258,12,5,9,False
1291,ACURA,NSX,PREMIUM COUPE AWD 2PTAS 3.5L 6CIL 573HP AUT DCT,2017,AUT,Gasolina,6,573,3.5,AUTOS DE LUJO,10.6,10.8,12.05,9.03,258,12,5,9,False
1292,BMW,M140iA,3PTAS 3.0L 6CIL 340HP TURBO AUT,2017,AUT,Gasolina,6,340,3.0,AUTOS DE LUJO,10.6,17.2,14.2,10.65,219,33,6,?,False
1293,BMW,M240iA,COUPE 2PTAS 3.0L 6CIL 340HP TURBO AUT,2017,AUT,Gasolina,6,340,3.0,AUTOS DE LUJO,10.6,17.2,14.2,10.65,219,33,6,?,False
1294,PORSCHE,CAYMAN,S 2PTS 3.4L 6CIL 303HP MAN,2011,MAN,Gasolina,6,320,3.4,AUTOS DE LUJO,10.59,12.82,11.49,8.62,271,16,4,8,False
1295,PORSCHE,CAYMAN,S 2PTS 3.4L 6CIL 303HP PDK,2011,PDK,Gasolina,6,320,3.4,AUTOS DE LUJO,10.59,12.65,11.43,8.57,272,16,4,8,False
1296,PORSCHE,CAYMAN,S 2PTS 3.4L 6CIL 320HP MAN,2012,MAN,Gasolina,6,320,3.4,AUTOS DE LUJO,10.59,12.82,11.49,8.62,271,16,4,8,False
1297,PORSCHE,CAYMAN,S 2PTS 3.4L 6CIL 320HP PDK,2012,PDK,Gasolina,6,320,3.4,AUTOS DE LUJO,10.59,12.66,11.43,8.57,272,16,4,8,False
1298,SUBARU,LEGACY,3.6R AWD 4PTS 3.6L 6CIL 256HP CVT,2015,CVT,Gasolina,6,256,3.6,AUTOS DE LUJO,10.59,17.13,12.79,9.59,243,20,5,7,False
1299,SUBARU,LEGACY,3.6R LIMITED AWD 4PTS 3.6L 6CIL 256HP CVT,2016,CVT,Gasolina,6,256,3.6,AUTOS DE LUJO,10.59,17.13,12.79,9.59,243,20,5,7,False
1300,AUDI,A6,SEDAN 4PTS 2.8L 6CIL 204HP MULTITRONIC FRONT FSI,2013,MULTITRONIC,Gasolina,6,204,2.8,AUTOS DE LUJO,10.57,16.65,12.65,9.49,246,18,5,8,False
1301,MERCEDES,CLS350,CGI 4PTS 3.5L 6CIL 302HP,2012,AUT,Gasolina,6,302,3.5,AUTOS DE LUJO,10.52,17.86,12.91,9.68,241,7,5,9,False
1302,MERCEDES,CLS350,CGI 4PTS 3.5L 6CIL 302HP AUT,2013,AUT,Gasolina,6,302,3.5,AUTOS DE LUJO,10.52,17.86,12.91,9.68,241,7,5,9,False
1303,INFINITI,Q50,4PTS 3.7L 6CIL 327HP AUT,2014,AUT,Gasolina,6,327,3.7,AUTOS DE LUJO,10.5,17.2,12.73,9.55,244,12,5,9,False
1304,INFINITI,Q50,4PTS 3.7L 6CIL 327HP AUT,2015,AUT,Gasolina,6,327,3.7,AUTOS DE LUJO,10.5,17.2,12.73,9.55,244,12,5,9,False
1305,INFINITI,Q50,4PTS 3.7L 6CIL 327HP AUT,2016,AUT,Gasolina,6,327,3.7,AUTOS DE LUJO,10.5,17.2,12.73,9.55,244,12,5,9,False
1306,BMW,750iA,SEDAN 4PTAS 4.4L 8CIL. 449HP AUT BITURBO,2016,AUT,Gasolina,8,449,4.4,AUTOS DE LUJO,10.5,17.6,12.83,9.62,242,35,5,6,False
1307,AUDI,A5,3PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,16.8,12.63,9.47,246,22,5,7,False
1308,AUDI,A7,SPORTBACK 5PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,15.9,12.39,9.3,251,36,5,6,False
1309,AUDI,RS Q3,5PTAS 2.5L 5CIL 367HP STRONIC QUATTRO FSI TURBO,2016,STRONIC,Gasolina,5,367,2.5,AUTOS DE LUJO,10.5,16.7,12.61,9.45,247,35,5,6,False
1310,AUDI,S4,SEDAN 4PTAS 3.0L 6CIL 333HP STRONIC QUATTRO TURBO,2016,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,15.1,12.17,9.13,255,36,5,6,False
1311,AUDI,S5,COUPE 3PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBP,2016,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,16.8,12.63,9.47,246,22,5,7,False
1312,AUDI,A5,3PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,16.8,12.63,9.47,246,22,5,7,False
1313,AUDI,A7,SPORTBACK 5PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,15.9,12.39,9.3,251,36,5,6,False
1314,AUDI,RS Q3,5PTAS 2.5L 5CIL 367HP STRONIC QUATTRO FSI TURBO,2017,STRONIC,Gasolina,5,367,2.5,AUTOS DE LUJO,10.5,16.7,12.61,9.45,247,35,5,6,False
1315,AUDI,S4,SEDAN 4PTAS 3.0L 6CIL 333HP STRONIC QUATTRO TURBO,2017,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,15.1,12.17,9.13,255,36,5,6,False
1316,AUDI,S5,COUPE 3PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBP,2017,STRONIC,Gasolina,6,333,3.0,AUTOS DE LUJO,10.5,16.8,12.63,9.47,246,22,5,7,False
1317,VW,PASSAT,4PTS 2.5L 5CIL 170HP TIP,2013,TIPTRONIC,Gasolina,5,170,2.5,AUTOS DE LUJO,10.42,18.22,12.91,9.68,241,12,5,9,False
