Modelo,Cilindros,Potencia (HP),Tamaño (L),R. Ciudad (km/l),R. Carr. (km/l),R. Comb. (km/l),R. Ajust. (km/l),CO2(g/km),NOx (g/1000km),Calificación Gas Ef. Inv.,Hibrido,Marca_Mean_Encoded,Submarca_Mean_Encoded,Versión_Mean_Encoded,Trans._Mean_Encoded,Comb._Mean_Encoded,Categoría_Mean_Encoded
2016,4,306,2.0,12.1,19.3,14.54,10.91,214,10,6,0,259.1358024691358,248.94736842105263,214.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,185,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,230.70583190394512,256.83106267029973,270.9173715029278
2011,4,180,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,212.61943319838056,256.83106267029973,270.9173715029278
2012,4,185,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,230.70583190394512,256.83106267029973,270.9173715029278
2012,4,180,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,212.61943319838056,256.83106267029973,270.9173715029278
2013,4,185,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,230.70583190394512,256.83106267029973,270.9173715029278
2013,4,176,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,212.61943319838056,256.83106267029973,270.9173715029278
2014,4,176,2.4,12.08,17.5,14.04,10.53,221,8,6,0,207.45333333333335,219.66666666666666,221.0,212.61943319838056,256.83106267029973,270.9173715029278
2013,4,170,1.8,12.06,21.74,15.08,11.31,206,7,7,0,250.08254716981133,239.05555555555554,206.0,218.25,256.83106267029973,270.9173715029278
2013,4,170,1.8,12.06,21.74,15.08,11.31,206,7,7,0,250.08254716981133,239.05555555555554,206.0,218.25,256.83106267029973,270.9173715029278
2012,6,245,3.0,12.05,18.18,15.6,11.7,229,121,6,0,250.08254716981133,251.92,229.0,233.38202247191012,254.56852791878174,270.9173715029278
2016,4,245,2.0,12.05,18.87,15.78,11.84,197,32,7,0,266.3895131086142,199.66666666666666,197.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,245,2.0,12.05,18.87,15.78,11.84,197,32,7,0,266.3895131086142,199.66666666666666,197.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,211,2.0,12.01,20.96,14.87,11.15,209,15,7,0,250.08254716981133,239.05555555555554,209.0,218.25,256.83106267029973,270.9173715029278
2013,4,211,2.0,12.01,20.96,14.87,11.15,209,15,7,0,250.08254716981133,239.05555555555554,218.0,218.25,256.83106267029973,270.9173715029278
2013,4,211,2.0,12.01,20.96,14.87,11.15,209,15,7,0,250.08254716981133,239.05555555555554,209.0,239.3483870967742,256.83106267029973,270.9173715029278
2013,4,211,2.0,12.01,20.96,14.87,11.15,209,15,7,0,250.08254716981133,239.05555555555554,209.0,239.3483870967742,256.83106267029973,270.9173715029278
2012,6,250,3.0,12.0,18.95,15.77,11.82,227,526,6,0,288.04285714285714,289.1818181818182,224.5,363.7798165137615,254.56852791878174,270.9173715029278
2013,6,250,3.0,12.0,18.95,15.77,11.82,227,232,6,0,288.04285714285714,289.1818181818182,227.0,280.46082949308754,254.56852791878174,270.9173715029278
2016,6,275,2.7,12.0,19.1,14.41,10.81,216,15,6,0,288.04285714285714,250.97619047619048,244.5,280.46082949308754,256.83106267029973,270.9173715029278
2017,4,252,2.0,12.0,17.0,13.83,10.37,225,9,6,0,250.08254716981133,251.92,225.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,6,250,3.0,12.0,19.0,15.78,11.83,227,146,6,0,288.04285714285714,289.1818181818182,227.0,272.88235294117646,254.56852791878174,270.9173715029278
2017,4,230,2.0,12.0,17.7,14.03,10.53,222,41,6,0,250.08254716981133,220.47619047619048,222.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,252,2.0,12.0,17.0,13.83,10.37,225,9,6,0,250.08254716981133,251.92,225.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,230,2.0,12.0,17.7,14.03,10.53,222,41,6,0,250.08254716981133,220.47619047619048,222.0,239.3483870967742,256.83106267029973,270.9173715029278
2018,4,184,1.991,11.9,17.54,15.31,11.48,203,48,7,0,290.23262032085563,196.33333333333334,185.8,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,156,2.0,11.9,19.61,15.85,11.89,196,19,7,0,266.3895131086142,187.75,196.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,156,2.0,11.9,19.61,15.85,11.89,196,19,7,0,266.3895131086142,187.75,196.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,6,270,3.5,11.9,18.4,14.15,10.61,220,23,6,0,248.75980392156862,205.94444444444446,220.0,212.61943319838056,256.83106267029973,270.9173715029278
2014,6,201,3.5,11.9,18.4,14.15,10.61,220,23,6,0,248.75980392156862,205.94444444444446,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2015,6,201,3.5,11.9,18.4,14.15,10.61,220,23,6,0,248.75980392156862,205.94444444444446,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2014,4,208,2.0,11.9,20.0,15.95,11.96,195,29,7,0,290.23262032085563,195.0,195.0,271.68927078495125,256.83106267029973,270.9173715029278
2015,6,275,2.7,11.9,18.9,14.28,10.71,218,15,6,0,288.04285714285714,250.97619047619048,218.0,280.46082949308754,256.83106267029973,270.9173715029278
2016,6,270,3.5,11.9,18.4,15.54,11.66,200,23,7,0,248.75980392156862,205.94444444444446,200.0,212.61943319838056,256.83106267029973,270.9173715029278
2016,6,270,3.5,11.9,18.4,15.54,11.66,200,23,7,0,248.75980392156862,205.94444444444446,200.0,212.61943319838056,256.83106267029973,270.9173715029278
2017,6,270,3.5,11.9,18.4,14.15,10.61,220,23,6,0,248.75980392156862,205.94444444444446,220.0,212.61943319838056,256.83106267029973,270.9173715029278
2017,6,275,2.7,11.9,18.9,14.28,10.71,218,15,6,0,288.04285714285714,250.97619047619048,218.0,280.46082949308754,256.83106267029973,270.9173715029278
2011,4,160,1.8,11.84,20.12,14.53,10.9,214,15,6,0,250.08254716981133,217.69444444444446,214.0,218.25,256.83106267029973,270.9173715029278
2012,4,160,1.8,11.84,20.12,14.53,10.9,214,15,6,0,250.08254716981133,217.69444444444446,214.0,218.25,256.83106267029973,270.9173715029278
2016,4,245,2.0,11.79,18.74,14.15,10.61,220,20,6,0,210.29090909090908,191.125,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,4,245,2.0,11.79,18.74,14.15,10.61,220,20,6,0,210.29090909090908,191.125,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2012,4,245,2.0,11.76,19.23,15.65,11.73,199,13,7,0,266.3895131086142,199.0,199.0,230.70583190394512,256.83106267029973,270.9173715029278
2016,4,190,2.0,11.76,19.23,14.25,10.69,218,22,6,0,259.1358024691358,220.21428571428572,218.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,245,2.0,11.76,19.23,14.25,10.69,218,22,6,0,259.1358024691358,220.21428571428572,218.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,184,2.4,11.76,20.46,14.54,10.91,214,12,6,0,286.21875,252.93333333333334,214.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,230,2.0,11.7,17.5,13.75,10.31,226,15,6,0,250.08254716981133,239.05555555555554,226.0,208.26315789473685,256.83106267029973,270.9173715029278
2016,4,230,2.0,11.7,17.5,13.75,10.31,226,15,6,0,250.08254716981133,239.05555555555554,226.0,208.26315789473685,256.83106267029973,270.9173715029278
2016,4,230,2.0,11.7,17.5,13.75,10.31,226,15,6,0,250.08254716981133,239.05555555555554,226.0,208.26315789473685,256.83106267029973,270.9173715029278
2016,6,340,3.4,11.7,17.8,13.83,10.38,225,9,6,0,288.04285714285714,250.97619047619048,225.0,230.70583190394512,256.83106267029973,270.9173715029278
2017,4,230,2.0,11.7,17.5,13.75,10.31,226,15,6,0,250.08254716981133,239.05555555555554,226.0,208.26315789473685,256.83106267029973,270.9173715029278
2017,4,230,2.0,11.7,17.5,13.75,10.31,226,15,6,0,250.08254716981133,239.05555555555554,226.0,208.26315789473685,256.83106267029973,270.9173715029278
2017,4,230,2.0,11.7,17.5,13.75,10.31,226,15,6,0,250.08254716981133,239.05555555555554,226.0,208.26315789473685,256.83106267029973,270.9173715029278
2017,4,285,2.0,11.7,17.1,13.64,10.23,228,18,6,0,250.08254716981133,220.47619047619048,228.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,6,340,3.4,11.7,17.8,13.83,10.38,225,9,6,0,288.04285714285714,250.97619047619048,225.0,230.70583190394512,256.83106267029973,270.9173715029278
2016,4,285,2.0,11.7,17.1,13.64,10.23,228,18,6,0,250.08254716981133,220.47619047619048,228.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,240,2.0,11.67,18.68,14.04,10.53,221,24,6,0,326.4117647058824,249.8,230.5,271.68927078495125,256.83106267029973,270.9173715029278
2017,4,240,2.0,11.67,18.68,14.04,10.53,221,24,6,0,326.4117647058824,249.8,221.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,184,2.0,11.63,19.61,15.63,11.72,199,32,7,0,266.3895131086142,199.0,193.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,245,2.0,11.63,18.87,15.45,11.59,201,42,7,0,266.3895131086142,229.0,195.5,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,190,2.0,11.62,20.4,14.41,10.81,216,30,6,0,259.1358024691358,241.14285714285714,216.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,6,275,2.7,11.6,18.4,13.91,10.44,223,9,6,0,288.04285714285714,250.97619047619048,257.0,230.70583190394512,256.83106267029973,270.9173715029278
2017,6,326,3.0,11.6,18.9,15.43,11.58,201,36,7,0,266.3895131086142,204.0,204.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,211,2.0,11.57,20.01,14.28,10.71,218,35,6,0,250.08254716981133,217.69444444444446,222.5,218.25,256.83106267029973,270.9173715029278
2013,4,211,2.0,11.57,20.01,14.28,10.71,218,35,6,0,250.08254716981133,217.69444444444446,218.0,239.3483870967742,256.83106267029973,270.9173715029278
2011,4,160,1.8,11.54,21.19,14.51,10.88,214,17,6,0,250.08254716981133,217.69444444444446,214.0,230.70583190394512,256.83106267029973,270.9173715029278
2012,4,160,1.8,11.54,21.19,14.51,10.88,214,17,6,0,250.08254716981133,217.69444444444446,214.0,230.70583190394512,256.83106267029973,270.9173715029278
2018,4,272,2.0,11.52,18.62,13.91,10.43,224,5,6,0,308.87012987012986,307.0,224.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,272,2.0,11.52,18.51,13.88,10.41,224,10,6,0,308.87012987012986,307.0,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,4,272,2.0,11.52,18.51,13.88,10.41,224,10,6,0,308.87012987012986,307.0,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,191,2.4,11.5,19.5,14.1,10.58,220,12,6,0,236.23529411764707,249.61111111111111,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,6,280,3.5,11.5,17.1,14.88,11.16,209,17,7,0,263.7164179104478,271.1666666666667,242.5,271.68927078495125,256.83106267029973,270.9173715029278
2012,4,191,2.4,11.5,19.5,14.1,10.58,220,12,6,0,236.23529411764707,249.61111111111111,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2015,6,275,2.7,11.5,18.2,13.78,10.34,226,9,6,0,288.04285714285714,250.97619047619048,226.0,230.70583190394512,256.83106267029973,270.9173715029278
2015,5,170,2.5,11.5,19.9,14.2,10.65,219,3,6,0,221.27899686520377,260.51851851851853,233.66666666666666,272.88235294117646,256.83106267029973,270.9173715029278
2016,6,326,3.0,11.5,19.7,14.15,10.61,220,36,6,0,266.3895131086142,256.25,223.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,252,2.0,11.5,16.7,13.37,10.03,232,31,6,0,250.08254716981133,245.4,232.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,252,2.0,11.5,16.7,13.37,10.03,232,31,6,0,250.08254716981133,245.4,232.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,5,170,2.5,11.5,19.9,14.2,10.65,219,3,6,0,221.27899686520377,260.51851851851853,219.0,255.08695652173913,256.83106267029973,270.9173715029278
2017,4,252,2.0,11.5,16.7,13.37,10.03,232,31,6,0,250.08254716981133,245.4,232.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,4,252,2.0,11.5,16.7,13.37,10.03,232,31,6,0,250.08254716981133,245.4,232.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,6,275,2.7,11.5,18.2,13.78,10.34,226,9,6,0,288.04285714285714,250.97619047619048,226.0,230.70583190394512,256.83106267029973,270.9173715029278
2017,5,170,2.5,11.5,19.9,14.2,10.65,219,3,6,0,221.27899686520377,260.51851851851853,219.0,255.08695652173913,256.83106267029973,270.9173715029278
2017,6,431,3.0,11.5,14.1,13.93,10.45,223,36,6,0,266.3895131086142,268.77777777777777,223.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,211,1.991,11.49,17.86,15.08,11.31,206,37,7,0,290.23262032085563,195.4,203.0,271.68927078495125,256.83106267029973,270.9173715029278
2018,4,211,1.991,11.49,15.38,14.36,10.77,216,19,6,0,290.23262032085563,216.0,216.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,245,2.0,11.49,18.18,15.16,11.37,205,32,7,0,266.3895131086142,199.66666666666666,205.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,245,2.0,11.49,19.6,14.12,10.59,220,23,6,0,259.1358024691358,248.94736842105263,220.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,204,2.4,11.4,18.3,13.73,10.3,226,11,6,0,263.7164179104478,235.0,219.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2012,4,204,2.4,11.4,18.3,15.12,11.34,206,11,7,0,263.7164179104478,235.0,219.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,204,2.4,11.4,18.3,13.73,10.3,226,11,6,0,263.7164179104478,235.0,226.0,271.68927078495125,256.83106267029973,270.9173715029278
2014,4,204,2.4,11.4,18.2,13.7,10.28,227,11,6,0,263.7164179104478,235.0,219.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2017,6,326,3.0,11.4,19.9,15.51,11.63,200,15,7,0,266.3895131086142,206.66666666666666,200.0,271.68927078495125,256.83106267029973,270.9173715029278
2012,6,268,3.5,11.3,17.8,13.52,10.14,230,12,6,0,277.19565217391306,224.0,267.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,6,268,3.5,11.3,17.8,13.52,10.14,230,12,6,0,277.19565217391306,224.0,267.0,271.68927078495125,256.83106267029973,270.9173715029278
2014,6,268,3.5,11.3,17.8,13.52,10.14,230,12,6,0,277.19565217391306,224.0,267.0,271.68927078495125,256.83106267029973,270.9173715029278
2014,4,355,2.0,11.3,17.2,14.75,11.07,211,33,7,0,290.23262032085563,211.0,211.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,252,2.0,11.3,17.4,13.42,10.06,232,39,6,0,250.08254716981133,251.92,232.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,4,252,2.0,11.3,17.4,13.42,10.06,232,39,6,0,250.08254716981133,251.92,232.0,239.3483870967742,256.83106267029973,270.9173715029278
2013,6,380,3.0,11.29,14.45,13.91,10.43,224,20,6,1,288.04285714285714,289.1818181818182,224.0,280.46082949308754,256.83106267029973,270.9173715029278
2018,4,245,1.991,11.24,16.95,14.64,10.98,212,11,6,0,290.23262032085563,212.0,212.0,271.68927078495125,256.83106267029973,270.9173715029278
2012,4,184,2.0,11.23,17.85,14.87,11.15,209,17,7,0,266.3895131086142,264.84615384615387,209.0,271.68927078495125,256.83106267029973,270.9173715029278
2012,4,122,1.6,11.23,18.86,15.12,11.34,206,24,7,0,195.09448818897638,172.84615384615384,206.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,202,2.4,11.23,17.95,13.51,10.13,230,40,6,0,263.7164179104478,194.15384615384616,230.0,230.70583190394512,256.83106267029973,270.9173715029278
2013,4,122,1.6,11.23,18.86,15.12,11.34,206,24,7,0,195.09448818897638,172.84615384615384,206.0,271.68927078495125,256.83106267029973,270.9173715029278
2015,6,280,3.6,11.2,21.3,14.24,10.68,218,16,6,0,221.27899686520377,260.51851851851853,218.0,272.88235294117646,256.83106267029973,270.9173715029278
2016,4,230,2.0,11.2,16.5,13.09,9.82,237,46,6,0,250.08254716981133,239.05555555555554,237.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,230,2.0,11.2,16.5,13.09,9.82,237,46,6,0,250.08254716981133,239.05555555555554,237.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,190,1.8,11.2,15.8,12.89,9.67,241,8,5,0,250.08254716981133,251.92,241.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,6,340,3.4,11.2,17.3,13.31,9.98,234,6,6,0,288.04285714285714,250.97619047619048,234.0,280.46082949308754,256.83106267029973,270.9173715029278
2016,4,306,2.0,11.2,17.0,13.23,9.92,235,10,6,0,259.1358024691358,286.15384615384613,235.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,4,230,2.0,11.2,16.5,13.09,9.82,237,46,6,0,250.08254716981133,239.05555555555554,237.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,4,230,2.0,11.2,16.5,13.09,9.82,237,46,6,0,250.08254716981133,239.05555555555554,237.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,4,190,1.8,11.2,15.8,12.89,9.67,241,8,5,0,250.08254716981133,251.92,241.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,6,340,3.4,11.2,17.3,13.31,9.98,234,6,6,0,288.04285714285714,250.97619047619048,234.0,280.46082949308754,256.83106267029973,270.9173715029278
2016,4,180,2.4,11.18,18.92,13.7,10.28,227,17,6,0,258.1333333333333,236.57142857142858,227.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,272,2.0,11.18,18.62,13.63,10.22,228,11,6,0,308.87012987012986,245.3125,228.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2014,4,180,2.4,11.18,18.92,13.7,10.28,227,19,6,0,258.1333333333333,236.57142857142858,227.0,271.68927078495125,256.83106267029973,270.9173715029278
2015,4,180,2.4,11.18,18.92,13.7,10.28,227,19,6,0,258.1333333333333,236.57142857142858,227.0,271.68927078495125,256.83106267029973,270.9173715029278
2014,4,272,2.0,11.15,18.38,13.55,10.16,229,11,6,0,308.87012987012986,245.3125,228.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2015,4,272,2.0,11.15,18.38,13.55,10.16,229,11,6,0,308.87012987012986,245.3125,228.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,217.69444444444446,227.0,218.25,256.83106267029973,270.9173715029278
2011,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,217.69444444444446,227.0,233.38202247191012,256.83106267029973,270.9173715029278
2011,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,239.05555555555554,227.0,233.38202247191012,256.83106267029973,270.9173715029278
2012,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,217.69444444444446,222.5,218.25,256.83106267029973,270.9173715029278
2012,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,217.69444444444446,227.0,233.38202247191012,256.83106267029973,270.9173715029278
2012,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,239.05555555555554,227.0,233.38202247191012,256.83106267029973,270.9173715029278
2012,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,239.05555555555554,218.0,218.25,256.83106267029973,270.9173715029278
2012,4,211,2.0,11.11,19.23,13.72,10.29,227,17,6,0,250.08254716981133,239.05555555555554,227.0,233.38202247191012,256.83106267029973,270.9173715029278
2011,4,160,1.8,11.11,18.86,15.02,11.27,207,17,7,0,250.08254716981133,220.47619047619048,207.0,230.70583190394512,256.83106267029973,270.9173715029278
2012,4,160,1.8,11.11,18.86,15.02,11.27,207,17,7,0,250.08254716981133,220.47619047619048,204.5,230.70583190394512,256.83106267029973,270.9173715029278
2015,4,260,2.0,11.1,17.9,13.39,10.04,232,7,6,0,258.1333333333333,241.2,222.5,271.68927078495125,256.83106267029973,270.9173715029278
2016,5,254,2.5,11.1,16.5,13.02,9.76,239,10,5,0,259.1358024691358,241.14285714285714,253.66666666666666,271.68927078495125,256.83106267029973,270.9173715029278
2016,6,300,2.0,11.1,17.0,13.15,9.87,236,15,6,0,288.04285714285714,250.97619047619048,236.0,230.70583190394512,256.83106267029973,270.9173715029278
2016,4,254,2.5,11.1,16.5,13.02,9.76,239,10,5,0,259.1358024691358,241.14285714285714,280.5,271.68927078495125,256.83106267029973,270.9173715029278
2017,6,300,2.0,11.1,17.0,13.15,9.87,236,15,6,0,288.04285714285714,250.97619047619048,236.0,230.70583190394512,256.83106267029973,270.9173715029278
2016,4,260,2.0,11.05,17.85,13.34,10.0,233,7,6,0,258.1333333333333,241.2,233.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,250,2.0,11.05,17.85,13.34,10.0,233,7,6,0,258.1333333333333,236.57142857142858,233.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,4,260,2.0,11.05,17.81,13.33,10.0,233,7,6,0,258.1333333333333,241.2,233.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,250,2.0,11.05,17.86,13.34,10.0,233,11,6,0,258.1333333333333,236.57142857142858,233.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,272,2.0,11.02,16.05,12.83,9.62,242,13,5,0,250.08254716981133,246.66666666666666,242.0,239.3483870967742,256.83106267029973,270.9173715029278
2013,4,272,2.0,11.02,16.05,12.83,9.62,242,13,5,0,250.08254716981133,246.66666666666666,242.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,285,2.0,11.02,16.0,12.81,9.61,243,13,5,0,250.08254716981133,249.5,243.0,233.38202247191012,256.83106267029973,270.9173715029278
2011,4,178,2.4,11.0,18.7,13.5,10.13,230,7,6,0,236.23529411764707,249.61111111111111,230.0,271.68927078495125,256.83106267029973,270.9173715029278
2012,4,178,2.4,11.0,18.7,13.5,10.13,230,7,6,0,236.23529411764707,249.61111111111111,230.0,271.68927078495125,256.83106267029973,270.9173715029278
2015,4,280,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2015,4,285,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2015,4,285,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2015,6,280,3.6,11.0,17.8,13.28,9.96,234,5,6,0,221.27899686520377,260.51851851851853,245.5,199.68548387096774,256.83106267029973,270.9173715029278
2016,6,325,3.4,11.0,17.9,13.31,9.98,234,11,6,0,288.04285714285714,250.97619047619048,250.33333333333334,280.46082949308754,256.83106267029973,270.9173715029278
2016,6,326,3.0,11.0,19.7,13.73,10.3,226,36,6,0,266.3895131086142,226.0,223.0,271.68927078495125,256.83106267029973,270.9173715029278
2016,4,280,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,4,285,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2016,6,280,3.6,11.0,17.8,13.28,9.96,234,5,6,0,221.27899686520377,260.51851851851853,234.0,199.68548387096774,256.83106267029973,270.9173715029278
2017,4,285,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,4,285,2.0,11.0,16.0,12.8,9.6,243,13,5,0,250.08254716981133,249.5,243.0,239.3483870967742,256.83106267029973,270.9173715029278
2017,6,280,3.6,11.0,17.8,13.28,9.96,234,5,6,0,221.27899686520377,260.51851851851853,234.0,199.68548387096774,256.83106267029973,270.9173715029278
2017,6,326,3.0,11.0,18.2,14.77,11.08,210,15,7,0,266.3895131086142,206.66666666666666,210.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,6,326,3.0,11.0,18.2,14.77,11.08,210,15,7,0,266.3895131086142,206.66666666666666,210.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,6,326,3.0,11.0,19.2,15.01,11.26,207,36,7,0,266.3895131086142,256.25,204.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,4,197,1.6,10.99,17.86,14.68,11.01,212,29,6,0,222.16483516483515,228.88888888888889,212.0,230.70583190394512,256.83106267029973,270.9173715029278
2012,4,197,1.6,10.99,17.86,14.68,11.01,212,29,6,0,222.16483516483515,228.88888888888889,212.0,230.70583190394512,256.83106267029973,270.9173715029278
2013,4,197,1.6,10.99,17.86,14.68,11.01,212,29,6,0,222.16483516483515,228.88888888888889,212.0,230.70583190394512,256.83106267029973,270.9173715029278
2014,4,197,1.6,10.99,17.86,14.68,11.01,212,29,6,0,222.16483516483515,228.88888888888889,212.0,230.70583190394512,256.83106267029973,270.9173715029278
2015,4,197,1.6,10.99,17.86,14.68,11.01,212,29,6,0,222.16483516483515,228.88888888888889,212.0,230.70583190394512,256.83106267029973,270.9173715029278
2012,4,181,1.8,10.98,20.4,15.25,11.44,204,20,7,0,290.23262032085563,204.33333333333334,204.33333333333334,271.68927078495125,256.83106267029973,270.9173715029278
2013,4,181,1.8,10.98,20.4,15.25,11.44,204,20,7,0,290.23262032085563,204.33333333333334,204.33333333333334,271.68927078495125,256.83106267029973,270.9173715029278
2013,6,325,3.4,10.98,17.85,13.28,9.96,234,11,6,0,288.04285714285714,250.97619047619048,250.33333333333334,280.46082949308754,256.83106267029973,270.9173715029278
2018,6,335,3.5,10.93,17.94,13.26,9.94,234,8,6,0,308.87012987012986,307.0,234.0,271.68927078495125,256.83106267029973,270.9173715029278
2017,6,335,3.6,10.93,17.94,13.26,9.94,234,9,6,0,308.87012987012986,307.0,234.0,271.68927078495125,256.83106267029973,270.9173715029278
2011,6,270,3.5,10.9,16.2,12.78,9.59,243,6,5,0,248.75980392156862,205.94444444444446,243.0,212.61943319838056,256.83106267029973,270.9173715029278
2012,6,270,3.5,10.9,16.2,12.78,9.59,243,6,5,0,248.75980392156862,205.94444444444446,243.0,212.61943319838056,256.83106267029973,270.9173715029278
2012,6,219,2.5,10.9,17.4,13.1,9.83,237,10,6,0,281.6909090909091,237.0,237.0,271.68927078495125,256.83106267029973,270.9173715029278
2013,6,219,2.5,10.9,17.4,13.1,9.83,237,10,6,0,281.6909090909091,237.0,237.0,271.68927078495125,256.83106267029973,270.9173715029278
2014,4,181,1.8,10.9,20.4,15.18,11.39,205,28,7,0,290.23262032085563,204.33333333333334,204.33333333333334,271.68927078495125,256.83106267029973,270.9173715029278
2015,6,310,3.0,10.9,17.3,13.08,9.81,238,54,6,0,250.08254716981133,292.64,238.0,272.88235294117646,256.83106267029973,270.9173715029278
2015,6,325,3.4,10.9,17.7,13.18,9.88,236,11,6,0,288.04285714285714,250.97619047619048,236.0,280.46082949308754,256.83106267029973,270.9173715029278
2016,6,310,3.0,10.9,17.3,13.08,9.81,238,54,6,0,250.08254716981133,292.64,238.0,255.08695652173913,256.83106267029973,270.9173715029278
